"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3947422";"";"None";"439.56";"0";"3.48";"BDBM198510";"CC(C)(C)OC(=O)N[C@H]1CCN(C[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)C1";"IC50";"'>'";"1000.0";"nM";"";"";"353488";"UO_0000065";"";"";"";"";"0";"CHEMBL3887759";"Enzyme Assay: JAK1, JAK2, JAK3 and Tyk2 were purchased from Carna Biosciences, Inc. As the substrate, LANCE Ultra ULight-JAK1 Peptide (manufactured by PerkinElmer Co., Ltd. (PE)) was used. Dilute solutions of compounds and enzymes in assay buffer (50 mM HEPES pH7.5, 1 mM EGTA, 1 mM MgCl2, 2 mM DTT, 0.01% Tween20) were dispensed into wells of a 384-well black plate. After 5 minutes of preincubation, dilute solutions of the substrate and ATP (adenosine triphosphate) were added at a final concentration of 100 μM, and the plate was incubated at room temperature for 2 hours. After addition of a termination reagent containing EDTA (ethylenediamine tetraacetic acid) at a final concentration of 10 mM, LANCE Eu-W1024 Anti-phosphotyrosine (PT66) (manufactured by PE) was added, and after 1 hour of incubation, the fluorescences were measured with ARVO-HTS.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886441";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"1000.0"
"CHEMBL237347";"GW559768X";"None";"328.39";"0";"3.40";"GW559768X";"Cc1ccc(O)cc1Nc1ccnc2ccc(S(C)(=O)=O)cc12";"Inhibition";"'='";"9.66";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962303";"GSK_PKIS: TYK2 mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";"";"";"";"9.66"
"CHEMBL4788122";"";"None";"422.46";"0";"2.39";"9";"[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2cccnn2)c1OC";"IC50";"'='";"1.4";"nM";"8.85";"";"";"UO_0000065";"21.11";"0.39";"6.46";"6.76";"0";"CHEMBL4775527";"Inhibition of TYK2 JH2 domain (unknown origin) by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4765480";"1";"Scientific Literature";"J Med Chem";"2021";"None";"";"INHIBITOR";"";"1.4"
"CHEMBL4784838";"";"None";"498.53";"0";"2.76";"22";"[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cc(F)cc(-c2ncc(C(C)(C)O)cn2)c1OC";"IC50";"'='";"0.51";"nM";"9.29";"";"";"UO_0000065";"18.75";"0.35";"6.53";"6.14";"0";"CHEMBL4775527";"Inhibition of TYK2 JH2 domain (unknown origin) by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4765480";"1";"Scientific Literature";"J Med Chem";"2021";"None";"";"INHIBITOR";"";"0.51"
"CHEMBL4796821";"";"None";"479.56";"0";"3.23";"26";"[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ccc(C(C)(C)O)cn2)c1OC";"IC50";"'='";"0.48";"nM";"9.32";"";"";"UO_0000065";"19.56";"0.36";"6.09";"6.74";"0";"CHEMBL4775527";"Inhibition of TYK2 JH2 domain (unknown origin) by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4765480";"1";"Scientific Literature";"J Med Chem";"2021";"None";"";"INHIBITOR";"";"0.48"
"CHEMBL4759666";"";"None";"411.94";"0";"4.04";"30b";"CNC(=O)c1cnc2[nH]ccc2c1NC1CCCN(Cc2cccc(Cl)c2)CC1";"GI50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4713249";"Inhibition of TYK2 (unknown origin) transfected in mouse BAF3 cells assessed as cell growth inhibition incubated for 72 hrs by CCK8 assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4706658";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 72.0 hr";"";"";"10.0"
"CHEMBL459850";"";"None";"456.43";"0";"4.21";"8";"Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1Cc2cnc(N)nc2N(C)C1=O";"EC50";"'>'";"2000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL966747";"Inhibition of Tyk2 by cellular assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149823";"1";"Scientific Literature";"Proc Natl Acad Sci U S A";"2007";"None";"";"";"";"2000.0"
"CHEMBL4789693";"";"None";"411.94";"0";"4.04";"31b";"CNC(=O)c1cnc2[nH]ccc2c1N[C@@H]1CCN(Cc2cccc(Cl)c2)[C@@H](C)C1";"IC50";"'='";"61.7";"nM";"7.21";"";"";"UO_0000065";"17.50";"0.34";"3.17";"9.87";"0";"CHEMBL4713242";"Inhibition of recombinant TYK2 (unknown origin) using GFP-STAT1 as substrate incubated for 1 hr followed by anti-pSTAT1 antibody addition and measured after 30 mins by Lanthascreen TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4706658";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 1.5 hr";"INHIBITOR";"";"61.7"
"CHEMBL3359907";"";"None";"260.34";"0";"2.28";"3a";"C[C@@H](Nc1c(C(N)=O)cnn2cccc12)C(C)(C)C";"IC50";"'='";"16.0";"nM";"7.80";"";"";"UO_0000065";"29.94";"0.56";"5.52";"10.76";"0";"CHEMBL3377595";"Inhibition of TYK2 (unknown origin) by caliper assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352641";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"16.0"
"CHEMBL3359912";"";"None";"288.35";"0";"1.39";"4a";"CC1(C)[C@@H](O)CC[C@H]1Nc1c(C(N)=O)cnn2cccc12";"IC50";"'='";"79.0";"nM";"7.10";"";"";"UO_0000065";"24.63";"0.46";"5.71";"7.67";"0";"CHEMBL3377595";"Inhibition of TYK2 (unknown origin) by caliper assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352641";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"79.0"
"CHEMBL3359913";"";"None";"288.35";"0";"1.39";"4b";"CC1(C)[C@H](O)CC[C@H]1Nc1c(C(N)=O)cnn2cccc12";"IC50";"'='";"22.0";"nM";"7.66";"";"";"UO_0000065";"26.56";"0.50";"6.27";"8.27";"0";"CHEMBL3377595";"Inhibition of TYK2 (unknown origin) by caliper assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352641";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"22.0"
"CHEMBL259850";"";"None";"308.32";"0";"2.38";"SID103904634";"COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"5.7"
"CHEMBL3354191";"";"None";"382.47";"0";"2.74";"10";"COC1CCN(c2nccc(Nc3cc4c(cn3)c(N)nn4C(C)C)n2)CC1";"Inhibition";"'<'";"20.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3375811";"Inhibition of Tyk2 (unknown origin) at 1000 nM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351701";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"20.0"
"CHEMBL2035184";"";"None";"478.62";"1";"5.03";"14k, 95:5 trans/Cis mixture";"C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2csc(c2)COC/1";"IC50";"'='";"47.0";"nM";"7.33";"";"";"UO_0000065";"15.31";"0.29";"2.30";"10.66";"0";"CHEMBL2040122";"Inhibition of TYK2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2034857";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"0.047"
