canonical_smiles,JAK1,JAK2,JAK3,TYK2,Δ(JAK1-JAK2),Δ(JAK1-JAK3),Δ(JAK1-TYK2),Δmin_vs_other
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,9.4,8.52,7.13,8.59,0.8800000000000008,2.2700000000000005,0.8100000000000005,0.8100000000000005
Brc1cc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,7.68,7.15,,,0.5299999999999994,,,0.5299999999999994
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,8.96,8.21,7.38,6.82,0.75,1.580000000000001,2.1400000000000006,0.75
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)o1,8.85,8.55,7.22,7.01,0.29999999999999893,1.63,1.8399999999999999,0.29999999999999893
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,9.1,8.34,7.26,6.96,0.7599999999999998,1.8399999999999999,2.1399999999999997,0.7599999999999998
Brc1cnc2[nH]cc(-c3ccccc3)c2c1,,6.2,6.3,,,,,
Brc1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,8.82,8.0,6.39,,0.8200000000000003,2.4300000000000006,,0.8200000000000003
Brc1ncc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,9.0,8.64,7.82,6.96,0.35999999999999943,1.1799999999999997,2.04,0.35999999999999943
C#CC(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,,,7.26,,,,,
C#CC(=O)N1CCN(c2ccc([N+](=O)[O-])c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,,,7.05,,,,,
C#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(S(=O)(=O)CC)C1,8.23,8.24,,,-0.009999999999999787,,,-0.009999999999999787
